"Your Kindle Notes For:",,,
"SO GOOD THEY CAN'T IGNORE YOU: WHY SKILLS TRUMP PASSION IN THE QUEST FOR WORK YOU LOVE",,,
"by Cal Newport",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2c40sxt",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 127","","The narratives in this book are bound by a common thread: the importance of ability."
"Highlight (Yellow)","Location 128","","The things that make a great job great, I discovered, are rare and valuable. If you want them in your working life, you need something rare and valuable to offer in return."
"Highlight (Yellow)","Location 129","","In other words, you need to be good at something before you can expect a good job."
"Highlight (Yellow)","Location 142","","move his focus away from finding the right work and toward working right,"
"Highlight (Yellow)","Location 235","","Perhaps the only thing it does make clear is that, at least for Jobs, “follow your passion” was not particularly useful advice."
"Highlight (Yellow)","Location 250","","Glass emphasizes that it takes time to get good at anything, recounting the many years it took him to master radio to the point where he had interesting options."
"Highlight (Yellow)","Location 251","","“The key thing is to force yourself through the work, force the skills to come; that’s the hardest phase,”"
"Highlight (Yellow)","Location 266","","Compelling careers often have complex origins that reject the simple idea that all you have to do is follow your passion."
"Highlight (Yellow)","Location 290","","A job, in Wrzesniewski’s formulation, is a way to pay the bills, a career is a path toward increasingly better work, and a calling is work that’s an important part of your life and a vital part of your identity."
"Highlight (Yellow)","Location 299","","it seems that the type of work alone does not necessarily predict how much people enjoy it."
"Highlight (Yellow)","Location 305","","the more experience an assistant had, the more likely she was to love her work."
"Highlight (Yellow)","Location 306","","the happiest, most passionate employees are not those who followed their passion into a position, but instead those who have been around long enough to become good at what they do."
"Highlight (Yellow)","Location 311","","Conclusion #3: Passion Is a Side Effect of Mastery"
"Highlight (Yellow)","Location 316","","Self-Determination Theory (SDT), which is arguably the best understanding science currently has for why some pursuits get our engines running while others leave us cold."
"Highlight (Yellow)","Location 317","","SDT tells us that motivation, in the workplace or elsewhere, requires that you fulfill three basic psychological needs—factors described as the “nutriments” required to feel intrinsically motivated for your work: Autonomy: the feeling that you have control over your day, and that your actions are important Competence: the feeling that you are good at what you do Relatedness: the feeling of connection to other people"
"Highlight (Yellow)","Location 329","","Competence and autonomy, for example, are achievable by most people in a wide variety of jobs—assuming they’re willing to put in the hard work required for mastery."
"Highlight (Yellow)","Location 331","","In other words, working right trumps finding the right work."
"Highlight (Yellow)","Location 358","","passion hypothesis convinces people that somewhere there’s a magic “right” job waiting for them, and that if they find it, they’ll immediately recognize that this is the work they were meant to do."
"Highlight (Yellow)","Location 359","","The problem, of course, is when they fail to find this certainty, bad things follow, such as chronic job-hopping and crippling self-doubt."
"Highlight (Yellow)","Location 369","","The more we focused on loving what we do, the less we ended up loving it."
"Highlight (Yellow)","Location 404","","RULE #2   Be So Good They Can’t Ignore You"
"Highlight (Yellow)","Location 410","","two different approaches to thinking about work: the craftsman mindset, a focus on what value you’re producing in your job, and the passion mindset, a focus on what value your job offers you."
"Highlight (Yellow)","Location 411","","Most people adopt the passion mindset,"
"Highlight (Yellow)","Location 461","","“Nobody ever takes note of [my advice], because it’s not the answer they wanted to hear,” Martin said. “What they want to hear is ‘Here’s how you get an agent, here’s how you write a script,’… but I always say, ‘Be so good they can’t ignore you.’ ”"
"Highlight (Yellow)","Location 463","","“If somebody’s thinking, ‘How can I be really good?’ people are going to come to you.”"
"Highlight (Yellow)","Location 472","","It took Martin, by his own estimation, ten years for his new act to cohere, but when it did, he became a monster success."
"Highlight (Yellow)","Location 474","","“[Eventually] you are so experienced [that] there’s a confidence that comes out,” Martin explained. “I think it’s something the audience smells.”"
"Highlight (Yellow)","Location 483","","track the hours spent each month dedicated to thinking hard about research problems"
"Highlight (Yellow)","Location 493","","“Here’s what I respect: creating something meaningful and then presenting it to the world,”"
"Highlight (Yellow)","Location 503","","Irrespective of what type of work you do, the craftsman mindset is crucial for building a career you love."
"Highlight (Yellow)","Location 509","","the craftsman mindset focuses on what you can offer the world, the passion mindset focuses instead on what the world can offer you."
"Highlight (Yellow)","Location 528","","I am suggesting that you put aside the question of whether your job is your true passion, and instead turn your focus toward becoming so good they can’t ignore you."
"Highlight (Yellow)","Location 530","","regardless of what you do for a living, approach your work like a true performer."
"Highlight (Yellow)","Location 550","","regardless of how you feel about your job right now, adopting the craftsman mindset will be the foundation on which you’ll build a compelling career."
"Highlight (Yellow)","Location 575","","Most jobs don’t offer their employees great creativity, impact, or control over what they do and how they do it."
"Highlight (Yellow)","Location 578","","Basic economic theory tells us that if you want something that’s both rare and valuable, you need something rare and valuable to offer in return—this is Supply and Demand 101. It follows that if you want a great job, you need something of great value to offer in return."
"Highlight (Yellow)","Location 596","","Glass began to break away from the pack when he turned his focus on making his skills more rare and more valuable."
"Highlight (Yellow)","Location 622","","The traits that define great work are rare and valuable."
"Highlight (Yellow)","Location 623","","Supply and demand says that if you want these traits you need rare and valuable skills to offer in return."
"Highlight (Yellow)","Location 624","","Think of these rare and valuable skills you can offer as your career capital."
"Highlight (Yellow)","Location 625","","The craftsman mindset, with its relentless focus on becoming “so good they can’t ignore you,” is a strategy well suited for acquiring career capital. This is why it trumps the passion mindset if your goal is to create work you love."
"Highlight (Yellow)","Location 629","","The traits that define great work require that you have something rare and valuable to offer in return—skills I call career capital."
"Highlight (Yellow)","Location 633","","You need to get good in order to get good things in your working life, and the craftsman mindset is focused on achieving exactly this goal."
"Highlight (Yellow)","Location 713","","it became clear to me that certain jobs are better suited for applying career capital theory than others."
"Highlight (Yellow)","Location 714","","ended up devising a list of three traits that disqualify a job as providing a good foundation for building work you love:"
"Highlight (Yellow)","Location 718","Y","The job presents few opportunities to distinguish yourself by developing relevant skills that are rare and valuable. The job focuses on something you think is useless or perhaps even actively bad for the world. The job forces you to work with people you really dislike."
"Highlight (Yellow)","Location 801","","It didn’t take long for Alex to discover what allows some writers to succeed in catching the attention of a network while so many others fail: They write good scripts—a"
"Highlight (Yellow)","Location 803","","During the eight months he spent as an assistant he dedicated his nights to working on a trio of different writing projects."
"Highlight (Yellow)","Location 897","","Mike literally tracks every hour of his day, down to quarter-hour increments, on a spreadsheet. He wants to ensure that his attention is focused on the activities that matter."
"Highlight (Yellow)","Location 920","","seriously for the same amount of time, did I end up an average high school strummer while Jordan became a star?"
"Highlight (Yellow)","Location 922","","The difference in our abilities by the age of eighteen had less to do with the number of hours we practiced—though"
"Highlight (Yellow)","Location 924","","my discomfort playing anything I didn’t know real well."
"Highlight (Yellow)","Location 934","","Not only did Jordan’s early practice require him to constantly stretch himself beyond what was comfortable, but it was also accompanied by instant feedback."
"Highlight (Yellow)","Location 940","","This, then, explains why Jordan left me in the dust. I played. But he practiced."
"Highlight (Yellow)","Location 944","","can’t avoid the need to “go out to the woodshed in order to practice.”"
"Highlight (Yellow)","Location 992","","Hours spent in serious study of the game was not just the most important factor in predicting chess skill, it dominated the other factors."
"Highlight (Yellow)","Location 993","","The researchers discovered that the players who became grand masters spent five times more hours dedicated to serious study than those who plateaued at an intermediate level."
"Highlight (Yellow)","Location 1002","","The “serious study” employed by top chess players sounds similar to Jordan Tice’s approach to music: They’re both focused on difficult activities, carefully chosen to stretch your abilities where they most need stretching and that provide immediate feedback."
"Highlight (Yellow)","Location 1008","","“deliberate practice” to describe this style of serious study, defining it formally as an “activity designed, typically by a teacher, for the sole purpose of effectively improving specific aspects of an individual’s performance.”"
"Highlight (Yellow)","Location 1021","","It is a lifetime accumulation of deliberate practice that again and again ends up explaining excellence."
"Highlight (Yellow)","Location 1024","","“Most individuals who start as active professionals… change their behavior and increase their performance for a limited time until they reach an acceptable level."
"Highlight (Yellow)","Location 1026","","if you just show up and work hard, you’ll soon hit a performance plateau beyond which you fail to get any better."
"Highlight (Yellow)","Location 1029","","most types of work—that is, work that doesn’t have a clear training philosophy—most people are stuck."
"Highlight (Yellow)","Location 1031","","If you can figure out how to integrate deliberate practice into your own life, you have the possibility of blowing past your peers in your value, as you’ll likely be alone in your dedication to systematically getting better."
"Highlight (Yellow)","Location 1032","","That is, deliberate practice might provide the key to quickly becoming so good they can’t ignore you."
"Highlight (Yellow)","Location 1041","","“It’s like a sport, you have to practice and you have to study.”"
"Highlight (Yellow)","Location 1043","","“It’s a constant learning process,”"
"Highlight (Yellow)","Location 1044","","“You need to be constantly soliciting feedback from colleagues and professionals,”"
